,satisfaction_level,last_evaluation_score,project_count,average_monthly_hours,years_of_working,workplace_acciedent_count,employment_status,promotion_last_5years,department,salary_range,Score_variance
6678,0.68,0.49,3,230,3,0,0,0,technical,medium,-0.19000000000000006
6679,0.72,0.61,5,170,3,0,0,0,technical,medium,-0.10999999999999999
6680,0.78,0.72,4,258,3,0,0,0,technical,medium,-0.06000000000000005
6681,0.54,0.9,3,164,3,0,0,0,technical,high,0.36
6682,0.18,0.46,4,249,4,0,0,0,technical,low,0.28
6683,0.51,0.5,2,235,2,0,0,0,technical,medium,-0.010000000000000009
6685,0.83,0.86,4,139,3,0,0,0,support,medium,0.030000000000000027
6686,0.91,0.82,3,145,3,1,0,0,support,medium,-0.09000000000000008
6687,0.79,0.66,4,139,4,0,0,0,support,low,-0.13
6688,0.52,0.95,3,171,3,1,0,0,support,low,0.42999999999999994
6689,0.83,0.94,3,160,3,0,0,0,support,low,0.10999999999999999
6690,0.92,0.74,3,137,2,0,0,0,support,low,-0.18000000000000005
6691,0.14,0.72,4,254,4,0,0,0,support,low,0.58
6693,0.79,0.72,3,216,4,0,0,0,support,low,-0.07000000000000006
6694,0.86,0.6,3,229,2,1,0,0,support,low,-0.26
6695,0.95,0.47,6,215,4,0,0,0,support,low,-0.48
6696,0.77,0.9,4,163,3,0,0,0,technical,low,0.13
6697,0.55,0.72,4,273,3,0,0,0,technical,low,0.16999999999999993
6698,0.42,0.91,2,176,3,0,0,0,technical,low,0.49000000000000005
6699,0.79,0.86,5,270,2,0,0,0,management,low,0.06999999999999995
6700,0.41,0.48,3,182,2,0,0,0,IT,low,0.07
6701,0.66,0.72,4,223,4,0,0,0,IT,low,0.05999999999999994
6702,1.0,0.65,4,237,3,0,0,0,IT,low,-0.35
6703,0.87,0.74,5,248,2,0,0,0,IT,low,-0.13
6704,0.51,0.99,3,233,4,0,0,0,IT,low,0.48
6705,0.63,0.79,2,206,5,0,0,0,product_mng,low,0.16000000000000003
6706,0.86,0.86,4,227,2,0,0,0,product_mng,low,0.0
6707,0.4,0.98,4,154,3,0,0,0,product_mng,low,0.58
6708,0.79,0.97,6,113,2,1,0,0,product_mng,medium,0.17999999999999994
6709,0.7,0.9,4,254,3,0,0,0,IT,medium,0.20000000000000007
6710,0.49,0.91,5,231,3,0,0,0,RandD,medium,0.42000000000000004
6711,0.76,0.62,4,190,3,0,0,0,RandD,medium,-0.14
6712,0.89,0.52,3,190,3,0,0,0,RandD,medium,-0.37
6713,0.83,0.86,3,179,2,0,0,0,RandD,medium,0.030000000000000027
6715,0.68,0.67,3,228,2,0,0,0,RandD,medium,-0.010000000000000009
6716,0.62,0.68,4,251,4,0,0,0,marketing,medium,0.06000000000000005
6717,0.87,0.49,2,251,3,0,0,0,sales,medium,-0.38
6718,0.66,0.75,4,200,4,0,0,0,accounting,medium,0.08999999999999997
6719,0.37,0.41,2,146,2,0,0,0,support,medium,0.03999999999999998
6720,0.57,0.49,3,159,4,1,0,0,technical,high,-0.07999999999999996
6721,0.66,0.81,5,135,2,0,0,0,management,low,0.15000000000000002
6722,0.63,0.88,5,260,3,0,0,0,marketing,medium,0.25
6723,0.65,0.96,5,226,2,1,0,0,marketing,medium,0.30999999999999994
6724,0.33,0.85,2,127,3,0,0,0,marketing,medium,0.52
6725,0.66,0.57,6,278,3,0,0,0,sales,medium,-0.09000000000000008
6726,0.87,0.95,3,242,5,0,0,0,sales,low,0.07999999999999996
6727,0.85,0.85,3,182,3,0,0,0,sales,low,0.0
6728,0.49,0.51,2,182,3,0,0,0,sales,low,0.020000000000000018
6729,0.87,0.8,4,197,3,0,0,0,sales,low,-0.06999999999999995
6730,0.17,0.49,4,286,5,1,0,0,sales,low,0.31999999999999995
6731,0.55,0.46,4,226,5,0,0,0,sales,low,-0.09000000000000002
6732,0.91,0.71,5,156,3,0,0,0,sales,low,-0.20000000000000007
6733,0.96,0.62,5,185,3,0,0,0,sales,low,-0.33999999999999997
6734,0.53,0.5,3,231,3,0,0,0,sales,low,-0.030000000000000027
6735,0.25,0.59,4,166,5,0,0,0,sales,low,0.33999999999999997
6736,0.98,0.57,3,229,3,0,0,0,sales,low,-0.41000000000000003
6737,0.83,0.36,4,242,3,0,0,0,sales,low,-0.47
6738,0.71,0.83,5,206,3,0,0,0,sales,low,0.12
6739,0.74,0.77,4,206,3,0,0,0,sales,low,0.030000000000000027
6740,0.56,0.7,4,135,2,0,0,0,sales,low,0.1399999999999999
6741,0.23,0.9,5,234,3,1,0,0,sales,low,0.67
6742,0.35,0.64,4,147,2,0,0,0,sales,low,0.29000000000000004
6743,0.48,0.98,4,174,3,0,0,0,sales,low,0.5
6744,0.83,0.74,3,259,3,1,0,0,accounting,low,-0.08999999999999997
6745,0.73,0.87,3,227,4,0,0,0,accounting,low,0.14
6746,0.85,0.97,4,104,5,0,0,0,accounting,low,0.12
6747,0.8,0.95,3,247,3,0,0,0,hr,medium,0.1499999999999999
6748,0.98,0.74,4,139,3,0,0,0,hr,medium,-0.24
6749,0.96,0.85,3,186,2,0,0,0,hr,medium,-0.10999999999999999
6750,0.67,0.75,3,194,3,0,0,0,hr,medium,0.07999999999999996
6751,0.58,0.91,3,124,2,0,0,0,technical,medium,0.33000000000000007
6752,0.83,0.86,3,273,3,0,0,0,technical,medium,0.030000000000000027
6753,0.9,0.57,4,186,4,0,0,0,technical,medium,-0.33000000000000007
6754,0.89,0.66,4,252,3,0,0,0,technical,medium,-0.22999999999999998
6755,0.99,0.92,3,154,3,0,0,0,technical,medium,-0.06999999999999995
6756,0.89,0.5,4,238,3,0,0,0,technical,medium,-0.39
6757,0.79,0.5,4,151,3,1,0,0,technical,medium,-0.29000000000000004
6760,0.94,0.6,5,278,2,0,0,0,technical,low,-0.33999999999999997
6761,0.56,0.97,3,270,3,1,0,0,technical,medium,0.4099999999999999
6762,0.85,0.8,4,158,3,0,0,0,support,medium,-0.04999999999999993
6763,0.8,0.62,3,191,3,0,0,0,support,medium,-0.18000000000000005
6764,0.86,0.53,3,163,3,0,0,0,support,medium,-0.32999999999999996
6765,0.96,1.0,5,152,4,0,0,0,support,low,0.040000000000000036
6766,0.51,0.61,4,251,2,1,0,0,support,low,0.09999999999999998
6767,0.73,0.95,3,149,2,0,0,0,support,low,0.21999999999999997
6768,0.31,0.75,4,220,3,0,0,0,support,low,0.44
6769,0.62,0.51,4,175,3,0,0,0,support,low,-0.10999999999999999
6770,0.55,0.91,3,179,3,1,0,0,support,low,0.36
6771,0.51,0.8,4,257,2,0,0,0,support,low,0.29000000000000004
6772,0.54,0.54,3,196,3,0,0,0,support,low,0.0
6773,0.65,0.95,3,190,3,0,0,0,technical,low,0.29999999999999993
6774,0.65,0.75,4,270,2,0,0,0,technical,low,0.09999999999999998
6775,0.9,0.64,5,226,2,0,0,0,technical,low,-0.26
6776,0.55,0.71,3,211,2,0,0,0,management,low,0.15999999999999992
6777,0.59,0.89,3,192,2,0,0,0,IT,low,0.30000000000000004
6778,0.34,0.67,5,96,2,1,0,0,IT,low,0.33
6779,0.31,0.92,5,197,5,0,0,0,IT,low,0.6100000000000001
6780,0.83,0.71,3,243,2,1,0,0,IT,low,-0.12
6781,0.8,0.73,3,168,2,0,0,0,IT,low,-0.07000000000000006
6782,0.66,0.85,5,271,4,0,0,0,product_mng,low,0.18999999999999995
6783,0.98,0.39,5,158,4,1,0,0,product_mng,medium,-0.59
6784,0.89,0.52,4,243,5,0,0,0,product_mng,medium,-0.37
6785,0.64,0.94,3,148,2,0,0,0,product_mng,medium,0.29999999999999993
6786,0.95,0.68,3,165,3,0,0,0,IT,medium,-0.2699999999999999
6787,0.96,0.85,5,171,2,0,0,0,RandD,medium,-0.10999999999999999
6788,0.96,0.82,5,164,2,0,0,0,RandD,medium,-0.14
6789,0.63,0.81,4,265,2,0,0,0,RandD,medium,0.18000000000000005
6790,0.83,0.71,4,196,2,0,0,0,RandD,medium,-0.12
6791,0.61,0.72,4,182,2,1,0,0,RandD,medium,0.10999999999999999
6792,0.89,0.66,3,272,3,0,0,0,RandD,medium,-0.22999999999999998
6793,0.67,0.63,3,241,3,0,0,0,marketing,medium,-0.040000000000000036
6794,0.61,1.0,5,139,2,0,0,0,sales,medium,0.39
6795,0.58,0.77,3,180,2,0,0,0,accounting,high,0.19000000000000006
6796,0.56,0.76,4,206,2,1,0,0,support,low,0.19999999999999996
6797,0.13,0.49,6,227,4,0,0,0,technical,medium,0.36
6798,0.39,1.0,5,204,5,1,0,0,management,medium,0.61
6799,0.94,0.48,4,218,3,0,0,0,marketing,medium,-0.45999999999999996
6800,0.63,0.61,3,205,2,0,0,0,marketing,medium,-0.020000000000000018
6801,0.75,0.63,4,261,3,1,0,0,marketing,low,-0.12
6802,0.7,0.83,3,159,3,0,0,0,sales,low,0.13
6803,0.28,0.83,4,162,3,0,0,0,sales,low,0.5499999999999999
6804,0.77,0.42,4,98,2,0,0,0,sales,low,-0.35000000000000003
6805,0.79,0.64,4,263,2,0,0,0,sales,low,-0.15000000000000002
6806,0.51,0.46,3,176,3,0,0,0,sales,low,-0.04999999999999999
6807,0.96,0.99,4,233,3,0,0,0,sales,low,0.030000000000000027
6808,0.72,0.99,4,156,2,1,0,0,sales,low,0.27
6809,0.97,1.0,3,198,2,0,0,0,sales,low,0.030000000000000027
6810,0.55,0.9,4,191,3,0,0,0,sales,low,0.35
6811,0.32,0.45,2,188,3,0,0,0,sales,low,0.13
6812,0.78,0.65,3,157,2,0,0,0,sales,low,-0.13
6813,0.17,0.57,5,286,3,0,0,0,sales,low,0.3999999999999999
6814,0.88,0.5,4,216,2,0,0,0,sales,low,-0.38
6815,0.97,0.5,3,188,3,1,0,0,sales,low,-0.47
6816,0.74,0.86,5,153,2,0,0,0,sales,low,0.12
6817,0.26,0.45,5,187,2,0,0,0,sales,low,0.19
6818,0.87,0.92,4,141,3,0,0,0,sales,low,0.050000000000000044
6819,0.29,0.47,5,139,4,0,0,0,sales,low,0.18
6820,0.91,0.95,3,189,2,0,0,0,sales,low,0.039999999999999925
6821,0.71,0.77,3,193,3,1,0,0,accounting,low,0.06000000000000005
6822,0.6,0.63,3,182,3,0,0,0,accounting,medium,0.030000000000000027
6823,0.5,0.61,4,135,3,0,0,0,accounting,medium,0.10999999999999999
6824,0.49,0.85,4,238,2,0,0,0,hr,medium,0.36
6825,0.53,0.92,3,199,2,0,0,0,hr,medium,0.39
6826,0.42,0.38,2,115,3,0,0,0,hr,medium,-0.03999999999999998
6827,0.53,0.82,3,133,3,0,0,0,hr,medium,0.2899999999999999
6828,0.34,0.62,4,158,2,0,0,0,technical,medium,0.27999999999999997
6829,0.68,0.51,5,158,3,0,0,0,technical,medium,-0.17000000000000004
6830,0.56,0.77,5,238,4,0,0,0,technical,medium,0.20999999999999996
6831,0.72,0.71,3,242,2,0,0,0,technical,medium,-0.010000000000000009
6832,0.76,0.55,4,250,3,0,0,0,technical,medium,-0.20999999999999996
6833,0.87,0.57,4,175,2,0,0,0,technical,medium,-0.30000000000000004
6834,0.97,0.63,3,270,4,1,0,0,technical,high,-0.33999999999999997
6835,0.8,0.62,3,171,3,0,0,0,technical,low,-0.18000000000000005
6837,0.6,0.97,5,145,2,0,0,0,technical,medium,0.37
6838,0.88,0.5,3,170,3,0,0,0,technical,medium,-0.38
6839,0.64,0.74,3,267,2,0,0,0,support,medium,0.09999999999999998
6840,0.85,0.7,3,188,2,0,0,0,support,low,-0.15000000000000002
6841,0.9,0.48,3,213,3,0,0,0,support,low,-0.42000000000000004
6842,0.76,0.84,5,249,3,0,0,0,support,low,0.07999999999999996
6843,0.55,0.66,3,134,3,0,0,0,support,low,0.10999999999999999
6844,0.76,0.77,5,234,3,0,0,0,support,low,0.010000000000000009
6845,0.87,0.72,3,201,3,0,0,0,support,low,-0.15000000000000002
6846,0.8,0.82,3,178,3,0,0,0,support,low,0.019999999999999907
6847,0.54,0.68,4,183,2,0,0,0,support,low,0.14
6848,0.84,0.91,4,207,3,0,0,0,support,low,0.07000000000000006
6849,0.85,0.64,4,147,3,0,0,0,support,low,-0.20999999999999996
6850,0.95,0.49,3,188,3,0,0,0,technical,low,-0.45999999999999996
6851,0.48,0.56,3,229,3,0,0,0,technical,low,0.08000000000000007
6852,0.53,0.77,2,271,2,0,0,0,technical,low,0.24
6853,0.8,0.82,4,175,2,0,0,0,management,low,0.019999999999999907
6854,0.4,0.46,2,109,3,0,0,0,IT,low,0.06
6855,0.76,0.69,4,253,3,0,0,0,IT,low,-0.07000000000000006
6856,0.99,0.64,3,174,4,0,0,0,IT,low,-0.35
6857,0.49,0.64,3,142,4,0,0,0,IT,low,0.15000000000000002
6858,0.94,0.71,3,175,3,0,0,0,IT,low,-0.22999999999999998
6859,0.54,0.73,4,266,3,0,0,0,product_mng,low,0.18999999999999995
6860,0.13,0.93,4,253,5,1,0,0,product_mng,low,0.8
6861,0.91,0.84,3,237,2,0,0,0,product_mng,medium,-0.07000000000000006
6862,0.73,0.56,3,215,3,0,0,0,product_mng,medium,-0.16999999999999993
6863,0.65,0.97,3,171,3,0,0,0,IT,medium,0.31999999999999995
6864,0.23,0.51,6,194,4,1,0,0,RandD,medium,0.28
6866,0.89,0.51,3,249,3,0,0,0,RandD,medium,-0.38
6867,0.81,0.8,3,183,2,1,0,0,RandD,medium,-0.010000000000000009
6868,0.51,0.74,3,271,4,0,0,0,RandD,medium,0.22999999999999998
6869,0.35,0.81,6,256,3,0,0,0,RandD,medium,0.4600000000000001
6870,0.49,0.66,3,169,3,0,0,0,marketing,medium,0.17000000000000004
6871,0.51,0.8,3,254,2,0,0,0,sales,medium,0.29000000000000004
6873,0.74,0.96,5,222,2,0,0,0,support,high,0.21999999999999997
6874,0.57,0.96,4,177,2,0,0,0,technical,low,0.39
6875,0.8,0.74,5,181,4,1,0,0,management,medium,-0.06000000000000005
6876,0.79,0.84,4,144,2,1,0,0,marketing,medium,0.04999999999999993
6877,0.74,0.94,4,255,4,0,0,0,marketing,medium,0.19999999999999996
6878,0.74,0.8,3,219,2,0,0,0,marketing,medium,0.06000000000000005
6879,0.4,1.0,6,206,2,0,0,0,sales,low,0.6
6880,0.14,0.71,2,155,3,0,0,0,sales,low,0.57
6881,0.83,0.87,5,248,3,0,0,0,sales,low,0.040000000000000036
6882,0.76,0.52,4,259,2,0,0,0,sales,low,-0.24
6883,0.8,0.8,3,271,4,0,0,0,sales,low,0.0
6884,0.95,0.38,2,103,3,0,0,0,sales,low,-0.57
6885,0.88,0.76,4,159,4,1,0,0,sales,low,-0.12
6886,0.92,0.85,4,184,3,0,0,0,sales,low,-0.07000000000000006
6888,0.7,0.63,3,157,4,0,0,0,sales,medium,-0.06999999999999995
6889,0.71,0.93,3,287,5,0,0,0,sales,medium,0.22000000000000008
6890,0.52,0.82,2,242,3,0,0,0,sales,medium,0.29999999999999993
6891,0.49,0.58,5,246,3,1,0,0,sales,medium,0.08999999999999997
6892,0.5,0.57,3,219,3,0,0,0,sales,medium,0.06999999999999995
6893,0.86,0.94,3,212,3,0,0,0,sales,medium,0.07999999999999996
6894,0.49,0.99,5,262,2,1,0,0,sales,medium,0.5
6895,0.69,0.91,4,128,3,1,0,0,sales,medium,0.22000000000000008
6897,0.87,0.54,3,260,2,0,0,0,sales,medium,-0.32999999999999996
6898,0.36,0.4,3,160,3,0,0,0,accounting,medium,0.040000000000000036
6899,0.86,1.0,3,166,3,1,0,0,accounting,medium,0.14
6900,0.79,0.74,4,222,2,0,0,0,accounting,medium,-0.050000000000000044
6901,1.0,0.52,4,171,4,0,0,0,hr,medium,-0.48
6902,0.88,0.88,3,220,4,0,0,0,hr,medium,0.0
6903,0.49,0.65,4,176,3,1,0,0,hr,medium,0.16000000000000003
6904,0.52,0.62,3,160,2,0,0,0,hr,medium,0.09999999999999998
6905,0.76,0.78,3,162,3,0,0,0,technical,medium,0.020000000000000018
6906,0.69,0.91,3,167,2,0,0,0,technical,medium,0.22000000000000008
6907,0.69,0.81,5,217,2,0,0,0,technical,medium,0.1200000000000001
6908,0.75,0.58,3,159,3,0,0,0,technical,medium,-0.17000000000000004
6909,0.47,0.47,4,191,3,0,0,0,technical,medium,0.0
6910,0.88,1.0,3,125,3,0,0,0,technical,medium,0.12
6911,0.49,0.43,5,210,4,1,0,0,technical,medium,-0.06
6912,0.92,0.67,4,241,3,0,0,0,technical,high,-0.25
6913,0.24,0.48,4,145,3,1,0,0,technical,high,0.24
6914,0.69,1.0,5,237,3,0,0,0,technical,high,0.31000000000000005
6915,0.81,0.57,4,213,4,0,0,0,technical,high,-0.2400000000000001
6916,0.61,0.48,4,257,2,0,0,0,support,high,-0.13
6917,0.75,0.86,6,114,4,0,0,0,support,high,0.10999999999999999
6918,0.69,0.86,4,214,2,0,0,0,support,high,0.17000000000000004
6919,0.53,0.49,3,191,3,0,0,0,support,high,-0.040000000000000036
6920,0.93,0.96,4,223,3,1,0,0,support,high,0.029999999999999916
6921,0.15,0.67,5,249,5,0,0,0,support,high,0.52
6922,0.48,0.41,5,286,3,0,0,0,support,high,-0.07
6923,0.67,0.73,4,251,3,0,0,0,support,high,0.05999999999999994
6924,0.36,0.93,3,162,5,0,0,0,support,low,0.5700000000000001
6925,0.35,0.54,3,138,4,0,0,0,support,low,0.19000000000000006
6926,0.65,0.62,4,235,3,0,0,0,support,low,-0.030000000000000027
6927,0.8,0.5,4,125,3,0,0,0,technical,low,-0.30000000000000004
6929,0.67,0.64,4,136,3,0,0,0,technical,low,-0.030000000000000027
6930,0.58,0.78,3,223,3,0,0,0,management,low,0.20000000000000007
6931,0.61,0.67,3,188,5,0,0,0,IT,low,0.06000000000000005
6932,0.97,0.66,4,214,2,1,0,0,IT,low,-0.30999999999999994
6933,0.87,0.97,4,160,3,0,0,0,IT,low,0.09999999999999998
6934,0.8,0.71,4,200,2,0,0,0,IT,low,-0.09000000000000008
6935,0.91,0.55,3,223,3,0,0,0,IT,low,-0.36
6936,0.63,0.73,3,272,2,0,0,0,product_mng,low,0.09999999999999998
6937,0.79,0.96,4,170,2,0,0,0,product_mng,low,0.16999999999999993
6938,0.89,0.57,2,235,3,1,0,0,product_mng,low,-0.32000000000000006
6939,1.0,0.87,3,274,3,0,0,0,product_mng,medium,-0.13
6940,0.6,0.73,5,203,2,0,0,0,IT,medium,0.13
6941,0.7,0.8,4,236,2,0,0,0,RandD,medium,0.10000000000000009
6942,0.79,0.81,4,203,3,0,0,0,RandD,medium,0.020000000000000018
6943,0.88,0.72,4,249,3,1,0,0,RandD,medium,-0.16000000000000003
6944,0.87,0.48,4,133,2,0,0,0,RandD,medium,-0.39
6945,0.52,0.58,3,203,2,0,0,0,RandD,medium,0.05999999999999994
6946,0.59,0.75,3,168,3,0,0,0,RandD,medium,0.16000000000000003
6947,0.64,0.75,4,172,4,0,0,0,marketing,medium,0.10999999999999999
6948,0.81,0.83,3,177,2,0,0,0,sales,medium,0.019999999999999907
6949,0.87,0.57,3,149,2,0,0,0,accounting,medium,-0.30000000000000004
6950,0.74,0.61,3,231,2,0,0,0,support,medium,-0.13
6951,0.73,0.89,3,226,3,1,0,0,technical,high,0.16000000000000003
6952,0.97,0.58,4,187,4,1,0,0,management,high,-0.39
6953,0.54,0.81,3,145,2,0,0,0,marketing,high,0.27
6954,0.59,0.55,4,138,2,0,0,0,marketing,high,-0.039999999999999925
6955,0.99,0.95,3,153,4,0,0,0,marketing,high,-0.040000000000000036
6956,0.79,0.75,4,168,3,0,0,0,sales,high,-0.040000000000000036
6957,0.96,0.37,3,111,2,0,0,0,sales,high,-0.59
6958,0.54,0.67,3,154,2,0,0,0,sales,high,0.13
6959,0.79,0.84,4,171,3,0,0,0,sales,low,0.04999999999999993
6960,0.64,0.79,3,253,2,0,0,0,sales,low,0.15000000000000002
6961,0.65,0.53,4,160,3,0,0,0,sales,low,-0.12
6962,0.87,0.86,3,196,4,0,0,0,sales,low,-0.010000000000000009
6963,0.7,0.59,4,178,3,0,0,0,sales,low,-0.10999999999999999
6964,0.89,0.81,3,268,3,0,0,0,sales,low,-0.07999999999999996
6965,0.61,0.58,6,146,3,0,0,0,sales,low,-0.030000000000000027
6966,0.9,0.49,4,185,2,0,0,0,sales,low,-0.41000000000000003
6967,0.49,0.54,4,247,3,1,0,0,sales,medium,0.050000000000000044
6968,0.85,0.97,4,210,2,0,0,0,sales,medium,0.12
6969,0.54,0.58,3,234,3,0,0,0,sales,medium,0.039999999999999925
6970,0.64,0.57,4,271,2,0,0,0,sales,medium,-0.07000000000000006
6971,0.81,0.77,5,102,5,0,0,0,sales,medium,-0.040000000000000036
6972,0.49,0.66,3,163,3,0,0,0,sales,medium,0.17000000000000004
6973,0.58,0.57,3,144,4,1,0,0,sales,medium,-0.010000000000000009
6974,0.62,0.49,3,172,3,0,0,0,sales,medium,-0.13
6975,0.8,0.84,3,203,3,1,0,0,accounting,medium,0.039999999999999925
6976,0.64,0.64,3,192,3,1,0,0,accounting,medium,0.0
6977,0.81,0.86,5,159,2,0,0,0,accounting,medium,0.04999999999999993
6978,0.8,0.74,3,159,2,0,0,0,hr,medium,-0.06000000000000005
6979,0.92,0.81,4,206,2,0,0,0,hr,medium,-0.10999999999999999
6980,0.66,0.98,4,225,2,1,0,0,hr,medium,0.31999999999999995
6981,0.79,0.89,3,252,2,0,0,0,hr,medium,0.09999999999999998
6982,0.74,0.54,6,113,3,0,0,0,technical,medium,-0.19999999999999996
6983,0.79,0.74,3,238,2,0,0,0,technical,medium,-0.050000000000000044
6984,0.87,0.94,3,217,3,0,0,0,technical,medium,0.06999999999999995
6985,0.49,0.57,4,145,2,0,0,0,technical,medium,0.07999999999999996
6986,0.3,0.44,5,128,4,1,0,0,technical,medium,0.14
6987,0.85,0.89,4,177,3,0,0,0,technical,medium,0.040000000000000036
6988,0.61,0.97,4,256,4,0,0,0,technical,medium,0.36
6989,0.68,0.55,3,182,3,1,0,0,technical,medium,-0.13
6990,0.67,0.67,4,226,2,0,0,0,technical,high,0.0
6991,0.63,0.73,5,168,3,0,0,0,technical,low,0.09999999999999998
6992,0.63,0.94,4,145,3,0,0,0,technical,medium,0.30999999999999994
6993,0.5,0.88,4,172,4,0,0,0,support,medium,0.38
6994,0.7,0.55,4,233,2,0,0,0,support,medium,-0.1499999999999999
6995,0.18,0.46,5,202,4,0,0,0,support,medium,0.28
6996,0.77,0.55,5,255,2,0,0,0,support,medium,-0.21999999999999997
6997,0.78,0.61,3,257,3,0,0,0,support,medium,-0.17000000000000004
6998,0.54,0.77,3,185,3,0,0,0,support,medium,0.22999999999999998
6999,0.9,0.69,3,231,4,0,0,0,support,medium,-0.21000000000000008
7000,0.56,0.76,3,207,2,0,0,0,support,medium,0.19999999999999996
7001,0.63,0.81,3,215,3,0,0,0,support,medium,0.18000000000000005
7002,0.68,0.75,5,243,3,1,0,0,support,low,0.06999999999999995
7003,0.96,0.54,3,198,3,0,0,0,support,low,-0.41999999999999993
7005,0.82,0.66,4,150,3,0,0,0,technical,low,-0.15999999999999992
7006,0.44,0.39,2,188,3,0,0,0,technical,low,-0.04999999999999999
7007,0.86,0.97,4,155,3,0,0,0,management,low,0.10999999999999999
7008,0.56,0.68,3,109,3,0,0,0,IT,low,0.12
7009,0.69,0.94,3,170,3,0,0,0,IT,high,0.25
7010,0.91,0.85,5,214,2,0,0,0,IT,low,-0.06000000000000005
7011,0.99,0.94,3,244,3,0,0,0,IT,high,-0.050000000000000044
7012,0.76,0.84,5,137,4,0,0,0,IT,high,0.07999999999999996
7013,0.63,0.67,5,250,2,0,0,0,product_mng,low,0.040000000000000036
7014,0.21,0.62,4,247,3,1,0,0,product_mng,low,0.41000000000000003
7015,0.63,0.43,2,222,4,0,0,0,product_mng,high,-0.2
7016,0.58,0.51,2,100,2,0,0,0,product_mng,low,-0.06999999999999995
7017,0.52,0.84,4,212,3,0,0,0,IT,medium,0.31999999999999995
7018,0.89,0.64,3,184,5,0,0,0,RandD,high,-0.25
7019,0.81,0.81,4,177,3,0,0,0,RandD,medium,0.0
7020,0.62,0.73,3,138,3,0,0,0,RandD,medium,0.10999999999999999
7021,0.83,0.5,4,167,3,1,0,0,RandD,medium,-0.32999999999999996
7022,0.85,0.99,3,201,3,0,0,0,RandD,medium,0.14
7023,0.52,0.61,5,162,3,0,0,0,marketing,high,0.08999999999999997
7024,0.57,0.97,5,126,5,0,0,0,sales,medium,0.4
7025,0.93,1.0,4,145,3,0,0,0,accounting,medium,0.06999999999999995
7026,0.78,0.89,3,211,3,0,0,0,support,medium,0.10999999999999999
7027,0.65,0.59,3,167,2,0,0,0,technical,high,-0.06000000000000005
7029,0.22,0.61,6,237,5,0,0,0,marketing,high,0.39
7030,0.71,0.96,5,135,4,1,0,0,marketing,low,0.25
7031,0.44,0.68,5,209,4,0,0,0,marketing,medium,0.24000000000000005
7032,0.6,0.52,4,190,3,0,0,0,sales,medium,-0.07999999999999996
7033,0.68,0.61,3,134,4,0,0,0,sales,medium,-0.07000000000000006
7034,0.53,0.41,2,148,2,1,0,0,sales,medium,-0.12000000000000005
7035,0.8,0.82,4,202,3,0,0,0,sales,low,0.019999999999999907
7036,0.97,0.82,4,176,2,0,0,0,sales,low,-0.15000000000000002
7038,0.96,0.93,3,156,3,0,0,0,sales,low,-0.029999999999999916
7039,0.81,0.45,6,98,3,0,0,0,sales,low,-0.36000000000000004
7040,0.86,0.65,4,134,4,0,0,0,sales,low,-0.20999999999999996
7041,0.59,0.82,4,203,4,1,0,0,sales,low,0.22999999999999998
7042,0.53,0.97,3,189,3,0,0,0,sales,low,0.43999999999999995
7043,0.57,0.86,3,258,2,0,0,0,sales,low,0.29000000000000004
7044,0.7,0.48,4,237,3,0,0,0,sales,low,-0.21999999999999997
7045,0.58,0.59,4,224,3,0,0,0,sales,high,0.010000000000000009
7046,0.43,0.86,5,125,3,1,0,0,sales,low,0.43
7047,0.92,0.82,4,207,4,0,0,0,sales,low,-0.10000000000000009
7048,0.24,0.7,5,194,3,0,0,0,sales,low,0.45999999999999996
7049,0.67,0.52,3,273,3,0,0,0,sales,low,-0.15000000000000002
7050,0.68,0.84,3,209,3,0,0,0,sales,high,0.15999999999999992
7051,0.54,0.75,3,181,3,0,0,0,accounting,low,0.20999999999999996
7052,0.73,0.63,3,172,4,1,0,0,accounting,low,-0.09999999999999998
7053,0.59,0.41,4,139,3,0,0,0,accounting,low,-0.18
7054,0.22,0.64,6,260,4,0,0,0,hr,high,0.42000000000000004
7055,0.49,0.83,3,168,4,1,0,0,hr,low,0.33999999999999997
7056,0.91,1.0,6,242,3,1,0,0,hr,medium,0.08999999999999997
7057,0.18,0.97,4,206,3,0,0,0,hr,high,0.79
7058,0.71,0.41,5,107,4,0,0,0,technical,medium,-0.3
7059,0.56,0.66,5,216,2,0,0,0,technical,high,0.09999999999999998
7060,0.84,0.62,4,152,3,0,0,0,technical,medium,-0.21999999999999997
7061,0.59,0.49,5,122,5,0,0,0,technical,medium,-0.09999999999999998
7062,0.88,0.62,4,138,3,0,0,0,technical,medium,-0.26
7063,0.8,0.52,3,182,2,0,0,0,technical,medium,-0.28
7064,0.53,0.63,3,205,2,0,0,0,technical,medium,0.09999999999999998
7065,0.53,0.83,3,267,4,0,0,0,technical,medium,0.29999999999999993
7066,0.3,0.67,3,150,2,0,0,0,technical,medium,0.37000000000000005
7067,0.91,0.7,4,134,2,0,0,0,technical,medium,-0.21000000000000008
7068,0.32,0.66,5,116,5,1,0,0,technical,high,0.34
7069,0.73,0.87,3,181,3,0,0,0,support,low,0.14
7070,0.87,0.54,3,268,3,0,0,0,support,medium,-0.32999999999999996
7071,0.57,0.73,3,129,3,0,0,0,support,medium,0.16000000000000003
7072,0.62,0.94,3,151,4,0,0,0,support,medium,0.31999999999999995
7073,0.55,0.91,3,243,4,0,0,0,support,medium,0.36
